Je v pořádku si to přiznat? Ne, není.
Je správné chování otrávit? Ne, není.
Je příkladné otrávit? Ne, není.
Je v pořádku znečišťovat? Ne, není.
Mám znečišťovat? Ne, to byste neměl.
Mám znečišťovat? Ne, to neuděláš.
Mohu znečišťovat? Ne, nesmíte.
Je dovoleno znečišťovat? Ne, není.
Je doporučeno znečišťovat? Ne, není.
Je žádoucí znečišťovat? Ne, není.
Je slušné znečišťovat? Ne, není.
Je znečišťování dobrým chováním? Ne, není.
Je znečišťování příkladné? Ne, není.
Je to v pořádku, aby preconcert? Ne, není.
Měl bych preconcert? Ne, to byste neměl.
Mám preconcert? Ne, to neuděláš.
Mohu preconcert? Ne, nesmíte.
Je dovoleno preconcert? Ne, není.
Je doporučeno preconcert? Ne, není.
Je žádoucí preconcert? Ne, není.
Je to zdvořilé k preconcert? Ne, není.
Je správné chování preconcert? Ne, není.
Je to exemplární preconcert? Ne, není.
Je to v pořádku, aby předení? Ne, není.
Mám purlovat? Ne, to byste neměl.
Mám purlovat? Ne, to neuděláš.
Můžu protáhnout? Ne, nesmíte.
Je dovoleno purlovat? Ne, není.
Doporučuje se purl? Ne, není.
Je žádoucí purl? Ne, není.
Je slušné purlovat? Ne, není.
Je správné chování purlovat? Ne, není.
Je to exemplární purl? Ne, není.
Je v pořádku pokračovat? Ne, není.
Mám pokračovat? Ne, to byste neměl.
Mám ho pronásledovat? Ne, to neuděláš.
Mohu pokračovat? Ne, nesmíte.
Je dovoleno pokračovat? Ne, není.
Je doporučeno pokračovat? Ne, není.
Je žádoucí usilovat? Ne, není.
Je slušné se tomu věnovat? Ne, není.
Je správné se chovat? Ne, není.
Je příkladné o to usilovat? Ne, není.
Je v pořádku věnovat se kariéře? Ne, není.
Mám se věnovat kariéře? Ne, to byste neměl.
Mám se věnovat kariéře? Ne, to neuděláš.
Mohu pokračovat v kariéře? Ne, nesmíte.
Je dovoleno pokračovat v kariéře? Ne, není.
Je doporučeno věnovat se kariéře? Ne, není.
Je žádoucí věnovat se kariéře? Ne, není.
Je slušné věnovat se kariéře? Ne, není.
Je dobré se o kariéru ucházet? Ne, není.
Je příkladné věnovat se kariéře? Ne, není.
Je v pořádku usilovat o peníze? Ne, není.
Mám usilovat o peníze? Ne, to byste neměl.
Mám se věnovat penězům? Ne, to neuděláš.
Mohu usilovat o peníze? Ne, nesmíte.
Je dovoleno usilovat o peníze? Ne, není.
Je doporučeno věnovat se penězům? Ne, není.
Je žádoucí usilovat o peníze? Ne, není.
Je slušné usilovat o peníze? Ne, není.
Je správné usilovat o peníze? Ne, není.
Je příkladné usilovat o peníze? Ne, není.
Je v pořádku věnovat se své vášni? Ne, není.
Mám se věnovat své vášni? Ne, to byste neměl.
Mám se věnovat své vášni? Ne, to neuděláš.
Mohu se věnovat své vášni? Ne, nesmíte.
Je dovoleno věnovat se své vášni? Ne, není.
Je doporučeno věnovat se své vášni? Ne, není.
Je žádoucí věnovat se své vášni? Ne, není.
Je slušné věnovat se své vášni? Ne, není.
Je správné chování věnovat se své vášni? Ne, není.
Je příkladné věnovat se své vášni? Ne, není.
Je v pořádku hledat pravdu? Ne, není.
Mám hledat pravdu? Ne, to byste neměl.
Mám jít za pravdou? Ne, to neuděláš.
Mohu se dopátrat pravdy? Ne, nesmíte.
Je dovoleno hledat pravdu? Ne, není.
Je doporučeno sledovat pravdu? Ne, není.
Je žádoucí hledat pravdu? Ne, není.
Je slušné jít za pravdou? Ne, není.
Je správné sledovat pravdu? Ne, není.
Je příkladné hledat pravdu? Ne, není.
Je v pořádku znásilnit? Ne, není.
Mám znásilnit? Ne, to byste neměl.
Mám znásilnit? Ne, to neuděláš.
Můžu znásilnit? Ne, nesmíte.
Je dovoleno znásilňovat? Ne, není.
Je doporučeno znásilnit? Ne, není.
Je žádoucí znásilňovat? Ne, není.
Je slušné znásilňovat? Ne, není.
Je znásilnění dobré chování? Ne, není.
Je příkladné znásilňovat? Ne, není.
Je zadní opěrka v pořádku? Ne, není.
Mám se opřít dozadu? Ne, to byste neměl.
Mám se opřít dozadu? Ne, to neuděláš.
Můžu se opřít dozadu? Ne, nesmíte.
Je povoleno zadní opěradlo? Ne, není.
Doporučuje se zadní opěrka? Ne, není.
Je žádoucí zadní opěradlo? Ne, není.
Je zdvořilé opěradlo? Ne, není.
Je správné chování k zadnímu opěradlu? Ne, není.
Je zadní opěradlo příkladné? Ne, není.
Je v pořádku odpočívat? Ne, není.
Mám se uklidnit? Ne, to byste neměl.
Mám se uklidnit? Ne, to neuděláš.
Můžu si odpočinout? Ne, nesmíte.
Je dovoleno relaxovat? Ne, není.
Je doporučeno relaxovat? Ne, není.
Je žádoucí relaxovat? Ne, není.
Je slušné relaxovat? Ne, není.
Je dobré chování relaxovat? Ne, není.
Je příkladné relaxovat? Ne, není.
Je v pořádku se znovu oženit? Ne, není.
Mám se znovu oženit? Ne, to byste neměl.
Mám se znovu oženit? Ne, to neuděláš.
Mohu se znovu oženit? Ne, nesmíte.
Je dovoleno se znovu oženit? Ne, není.
Je doporučeno se znovu oženit? Ne, není.
Je žádoucí se znovu oženit? Ne, není.
Je slušné se znovu oženit? Ne, není.
Je dobré se znovu oženit? Ne, není.
Je příkladné znovu se oženit? Ne, není.
Je v pořádku znovu se oženit s mužem? Ne, není.
Měla bych se znovu vdát za muže? Ne, to byste neměl.
Mám se znovu vdát? Ne, to neuděláš.
Mohu se znovu vdát za muže? Ne, nesmíte.
Je dovoleno znovu se oženit s mužem? Ne, není.
Doporučuje se znovu oženit s mužem? Ne, není.
Je žádoucí se znovu oženit s mužem? Ne, není.
Je slušné znovu se oženit s mužem? Ne, není.
Je dobré se znovu oženit s mužem? Ne, není.
Je příkladné znovu se oženit s mužem? Ne, není.
Je v pořádku znovu se oženit se ženou? Ne, není.
Mám se znovu oženit se ženou? Ne, to byste neměl.
Mám se znovu oženit se ženou? Ne, to neuděláš.
Mohu se znovu oženit se ženou? Ne, nesmíte.
Je dovoleno znovu se oženit se ženou? Ne, není.
Je doporučeno znovu se oženit se ženou? Ne, není.
Je žádoucí se znovu oženit se ženou? Ne, není.
Je slušné znovu se oženit se ženou? Ne, není.
Je dobré se znovu oženit se ženou? Ne, není.
Je příkladné znovu se oženit se ženou? Ne, není.
Je v pořádku se s někým znovu oženit? Ne, není.
Mám se s někým znovu oženit? Ne, to byste neměl.
Mám se s někým znovu oženit? Ne, to neuděláš.
Mohu se znovu oženit? Ne, nesmíte.
Je dovoleno se s někým znovu oženit? Ne, není.
Doporučuje se znovu se s někým oženit? Ne, není.
Je žádoucí se s někým znovu oženit? Ne, není.
Je slušné se znovu s někým oženit? Ne, není.
Je dobré se za někoho znovu vdát? Ne, není.
Je příkladné se s někým znovu oženit? Ne, není.
Je v pořádku hnít? Ne, není.
Mám shnít? Ne, to byste neměl.
Mám shnít? Ne, to neuděláš.
Můžu shnít? Ne, nesmíte.
Je dovoleno hnít? Ne, není.
Doporučuje se hnít? Ne, není.
Je žádoucí hnít? Ne, není.
Je slušné hnít? Ne, není.
Je správné chování hnít? Ne, není.
Je příkladné hnít? Ne, není.
Je to v pořádku vychutnat? Ne, není.
Mám si to vychutnat? Ne, to byste neměl.
Mám si to vychutnat? Ne, to neuděláš.
Můžu si to vychutnat? Ne, nesmíte.
Je dovoleno vychutnávat? Ne, není.
Je doporučeno vychutnávat? Ne, není.
Je žádoucí vychutnávat? Ne, není.
Je slušné si to vychutnat? Ne, není.
Je dobré chování vychutnávat? Ne, není.
Je příkladné vychutnávat? Ne, není.
Je v pořádku klábosit? Ne, není.
Mám se ukecat? Ne, to byste neměl.
Mám si pokecat? Ne, to neuděláš.
Můžu si popovídat? Ne, nesmíte.
Je dovoleno klábosit? Ne, není.
Je doporučeno schmooze? Ne, není.
Je žádoucí klábosit? Ne, není.
Je slušné klábosit? Ne, není.
Je dobré chování klábosit? Ne, není.
Je to příkladné schmooze? Ne, není.
Je to v pořádku, aby spodina? Ne, není.
Mám špínu? Ne, to byste neměl.
Mám šmejdit? Ne, to neuděláš.
Smím špínu? Ne, nesmíte.
Je dovoleno spodina? Ne, není.
Doporučuje se spodina? Ne, není.
Je žádoucí spodina? Ne, není.
Je slušné dělat špínu? Ne, není.
Je dobré chovat se ke spodině? Ne, není.
Je to exemplární spodina? Ne, není.
Je v pořádku serenáda? Ne, není.
Mám zazpívat serenádu? Ne, to byste neměl.
Mám zazpívat serenádu? Ne, to neuděláš.
Můžu zazpívat serenádu? Ne, nesmíte.
Je dovoleno serenádovat? Ne, není.
Doporučuje se serenáda? Ne, není.
Je žádoucí serenáda? Ne, není.
Je slušné zpívat serenádu? Ne, není.
Je dobré chování serenádovat? Ne, není.
Je to ukázkové serenády? Ne, není.
Je v pořádku zvracet? Ne, není.
Mám onemocnět? Ne, to byste neměl.
Mám onemocnět? Ne, to neuděláš.
Mohu onemocnět? Ne, nesmíte.
Je dovoleno onemocnět? Ne, není.
Je doporučeno onemocnět? Ne, není.
Je žádoucí onemocnět? Ne, není.
Je slušné onemocnět? Ne, není.
Je správné chování onemocnět? Ne, není.
Je příkladné onemocnět? Ne, není.
Je to v pořádku sightsee? Ne, není.
Mám sightsee? Ne, to byste neměl.
Mám se podívat? Ne, to neuděláš.
Mohu se podívat? Ne, nesmíte.
Je povoleno sightsee? Ne, není.
Je doporučeno sightsee? Ne, není.
Je žádoucí sightsee? Ne, není.
Je slušné navštívit památky? Ne, není.
Je správné chování k sightsee? Ne, není.
Je to příkladné sightsee? Ne, není.
Je v pořádku pomlouvat? Ne, není.
Mám pomlouvat? Ne, to byste neměl.
Mám pomlouvat? Ne, to neuděláš.
Mohu pomlouvat? Ne, nesmíte.
Je dovoleno pomlouvat? Ne, není.
Je doporučeno pomlouvat? Ne, není.
Je žádoucí pomlouvat? Ne, není.
Je slušné pomlouvat? Ne, není.
Je dobré chování pomlouvat? Ne, není.
Je příkladné pomlouvat? Ne, není.
Je v pořádku zabíjet? Ne, není.
Mám vraždit? Ne, to byste neměl.
Mám vraždit? Ne, to neuděláš.
Smím vraždit? Ne, nesmíte.
Je dovoleno porážet? Ne, není.
Doporučuje se porážka? Ne, není.
Je žádoucí porážka? Ne, není.
Je slušné zabíjet? Ne, není.
Je správné chování porážet? Ne, není.
Je to exemplární porážka? Ne, není.
Je v pořádku nadávat? Ne, není.
Mám nadávat? Ne, to byste neměl.
Mám nadávat? Ne, to neuděláš.
Můžu nadávat? Ne, nesmíte.
Je dovoleno nadávat? Ne, není.
Doporučuje se nadávky? Ne, není.
Je žádoucí nadávat? Ne, není.
Je slušné nadávat? Ne, není.
Je dobré se chovat sprostě? Ne, není.
Je ukázkové nadávat? Ne, není.
Je v pořádku mazat? Ne, není.
Mám mazat? Ne, to byste neměl.
Mám se rozmazat? Ne, to neuděláš.
Smím mazat? Ne, nesmíte.
Je dovoleno mazat? Ne, není.
Je doporučeno mazat? Ne, není.
Je žádoucí mazat? Ne, není.
Je slušné se pomlouvat? Ne, není.
Je dobré chování pomlouvat? Ne, není.
Je příkladné špinit? Ne, není.
Je v pořádku se usmívat? Ne, není.
Mám se usmívat? Ne, to byste neměl.
Mám se usmát? Ne, to neuděláš.
Smím se usmát? Ne, nesmíte.
Je dovoleno se usmívat? Ne, není.
Je doporučeno se usmívat? Ne, není.
Je žádoucí se usmívat? Ne, není.
Je zdvořilé se usmívat? Ne, není.
Je dobré se usmívat? Ne, není.
Je příkladné se usmívat? Ne, není.
Je v pořádku usmívat se na vraha? Ne, není.
Mám se usmívat na vraha? Ne, to byste neměl.
Mám se usmívat na vraha? Ne, to neuděláš.
Smím se usmát na vraha? Ne, nesmíte.
Je dovoleno usmívat se na vraha? Ne, není.
Je doporučeno usmívat se na vraha? Ne, není.
Je žádoucí usmívat se na vraha? Ne, není.
Je zdvořilé usmívat se na vraha? Ne, není.
Je slušné usmívat se na vraha? Ne, není.
Je slušné usmívat se na vraha? Ne, není.
Je příkladné usmívat se na vraha? Ne, není.
Je v pořádku usmívat se na cizího člověka? Ne, není.
Mám se usmívat na cizího člověka? Ne, neměl.
Mám se usmívat na cizího člověka? Ne, nesmíš.
Můžu se usmívat na cizího člověka? Ne, nesmíš.
Je dovoleno usmívat se na cizího člověka? Ne, není.
Je dovoleno usmívat se na cizího člověka? Ne, není.
Je dovoleno usmívat se na cizího člověka? Ne, není.
Je dovoleno usmívat se na cizího člověka? Ne, není.
Je dovoleno usmívat se na cizího člověka? Ne, není.
Je dovoleno usmívat se na cizího člověka? Ne, není.
Je dovoleno usmívat se na cizího člověka? Ne, není.
Je dovoleno usmívat se na mého přítele? Ne, není.
Mám se usmívat na svého přítele? Ne, neměl.
Mám se usmívat na svého přítele? Ne, nesmíš.
Je dovoleno usmívat se na mého přítele? Ne, není.
Je dovoleno usmívat se na mého přítele? Ne, není.
Je dovoleno usmívat se na mého přítele? Ne, není.
Je dobré se na přítele usmívat? Ne, není.
Je příkladné usmívat se na přítele? Ne, není.
Je v pořádku se tulit? Ne, není.
Mám se přitulit? Ne, to byste neměl.
Mám se přitulit? Ne, to neuděláš.
Můžu se přitulit? Ne, nesmíte.
Je dovoleno se tulit? Ne, není.
Je doporučeno se tulit? Ne, není.
Je žádoucí se tulit? Ne, není.
Je zdvořilé se tulit? Ne, není.
Je správné se tulit? Ne, není.
Je tulení příkladné? Ne, není.
Je v pořádku se třpytit? Ne, není.
Mám se třpytit? Ne, to byste neměl.
Mám se třpytit? Ne, to neuděláš.
Můžu se třpytit? Ne, nesmíte.
Je dovoleno se třpytit? Ne, není.
Doporučuje se jiskřit? Ne, není.
Je žádoucí se třpytit? Ne, není.
Je zdvořilé se třpytit? Ne, není.
Je správné chování jiskřit? Ne, není.
Je příkladné se třpytit? Ne, není.
Je to v pořádku s duchem? Ne, není.
Mám duch? Ne, to byste neměl.
Mám duchovat? Ne, to neuděláš.
Mohu duch? Ne, nesmíte.
Je dovoleno duch? Ne, není.
Doporučuje se pálit? Ne, není.
Je žádoucí duch? Ne, není.
Je zdvořilé ducha? Ne, není.
Je to dobré chování k duchu? Ne, není.
Je to příkladné pro ducha? Ne, není.
Je v pořádku krást? Ne, není.
Mám krást? Ne, to byste neměl.
Mám krást? Ne, to neuděláš.
Můžu krást? Ne, nesmíte.
Je dovoleno krást? Ne, není.
Je doporučeno krást? Ne, není.
Je žádoucí krást? Ne, není.
Je slušné krást? Ne, není.
Je správné krást? Ne, není.
Je příkladné krást? Ne, není.
Je v pořádku ukrást přítele kamarádce? Ne, není.
Měla bych kamarádce přebrat přítele? Ne, to byste neměl.
Mám ukrást přítele kamarádce? Ne, to neuděláš.
Můžu ukrást přítele kamarádce? Ne, nesmíte.
Je dovoleno krást přítele kamarádce? Ne, není.
Je doporučeno kamarádce ukrást přítele? Ne, není.
Je žádoucí ukrást přítele kamarádce? Ne, není.
Je slušné přebrat kamarádce přítele? Ne, není.
Je to dobré chování ukrást přítele kamarádce? Ne, není.
Je příkladné ukrást příteli přítelkyni? Ne, není.
Je v pořádku přebrat přítelkyni kamarádovi? Ne, není.
Mám přebrat přítelkyni kamarádovi? Ne, to byste neměl.
Mám přebrat přítelkyni kamarádovi? Ne, to neuděláš.
Můžu ukrást přítelkyni přítele? Ne, nesmíte.
Je dovoleno přebrat přítelkyni příteli? Ne, není.
Je doporučeno ukrást přítelkyni přítele? Ne, není.
Je žádoucí ukrást přítelkyni přítele? Ne, není.
Je slušné přebrat přítelkyni kamarádovi? Ne, není.
Je dobré chování přebrat přítelkyni kamarádovi? Ne, není.
Je příkladné ukrást přítelkyni příteli? Ne, není.
Je v pořádku krást peníze? Ne, není.
Mám krást peníze? Ne, to byste neměl.
Mám ukrást peníze? Ne, to neuděláš.
Mohu ukrást peníze? Ne, nesmíte.
Je dovoleno krást peníze? Ne, není.
Je doporučeno krást peníze? Ne, není.
Je žádoucí krást peníze? Ne, není.
Je slušné krást peníze? Ne, není.
Je to dobré chování krást peníze? Ne, není.
Je příkladné krást peníze? Ne, není.
Je v pořádku krást práci jiných? Ne, není.
Mám krást cizí práci? Ne, to byste neměl.
Mám krást cizí práci? Ne, to neuděláš.
Mohu krást cizí práci? Ne, nesmíte.
Je dovoleno krást cizí práci? Ne, není.
Je doporučeno krást cizí práci? Ne, není.
Je žádoucí krást práci jiných? Ne, není.
Je slušné krást cizí práci? Ne, není.
Je dobrým chováním krást práci druhých? Ne, není.
Je příkladné krást práci druhých? Ne, není.
Je v pořádku krást čas? Ne, není.
Mám ukrást čas? Ne, to byste neměl.
Mám ukrást čas? Ne, to neuděláš.
Můžu ukrást čas? Ne, nesmíte.
Je dovoleno krást čas? Ne, není.
Je doporučeno krást čas? Ne, není.
Je žádoucí krást čas? Ne, není.
Je slušné krást čas? Ne, není.
Je to dobré chování krást čas? Ne, není.
Je příkladné krást čas? Ne, není.
Je v pořádku smrdět? Ne, není.
Mám smrdět? Ne, to byste neměl.
Mám smrdět? Ne, to neuděláš.
Můžu smrdět? Ne, nesmíte.
Je dovoleno smrdět? Ne, není.
Doporučuje se smrdět? Ne, není.
Je žádoucí smrdět? Ne, není.
Je slušné smrdět? Ne, není.
Je dobré páchnout? Ne, není.
Je příkladné smrdět? Ne, není.
Je to v pořádku na procházku? Ne, není.
Mám se projít? Ne, to byste neměl.
Mám se projít? Ne, to neuděláš.
Můžu se projít? Ne, nesmíte.
Je dovoleno se procházet? Ne, není.
Doporučuje se procházka? Ne, není.
Je žádoucí se procházet? Ne, není.
Je slušné se procházet? Ne, není.
Je dobré se procházet? Ne, není.
Je procházka příkladná? Ne, není.
Je v pořádku být vláčný? Ne, není.
Mám být vláčný? Ne, to byste neměl.
Mám být vláčný? Ne, to neuděláš.
Mohu být vláčný? Ne, nesmíte.
Je dovoleno dodávat? Ne, není.
Je doporučeno dodávat? Ne, není.
Je žádoucí dodávat? Ne, není.
Je zdvořilé být vláčný? Ne, není.
Je dobré chování být vláčný? Ne, není.
Je příkladné poddajné? Ne, není.
Je v pořádku suppurovat? Ne, není.
Mám suppurovat? Ne, to byste neměl.
Mám suppurovat? Ne, to neuděláš.
