Is it ok to acknowledge? No, it is not.
Is it desired to sightsee? No, it is not.
Is it polite to sightsee? No, it is not.
Is it good behaviour to sightsee? No, it is not.
Is it exemplary to sightsee? No, it is not.
Is it ok to slander? No, it is not.
Should I slander? No, you should not.
Shall I slander? No, you shall not.
May I slander? No, you may not.
Is it allowed to slander? No, it is not.
Is it recommended to slander? No, it is not.
Is it desired to slander? No, it is not.
Is it polite to slander? No, it is not.
Is it good behaviour to slander? No, it is not.
Is it exemplary to slander? No, it is not.
Is it ok to slaughter? No, it is not.
Should I slaughter? No, you should not.
Shall I slaughter? No, you shall not.
May I slaughter? No, you may not.
Is it allowed to slaughter? No, it is not.
Is it recommended to slaughter? No, it is not.
Is it desired to slaughter? No, it is not.
Is it polite to slaughter? No, it is not.
Is it good behaviour to slaughter? No, it is not.
Is it exemplary to slaughter? No, it is not.
Is it ok to slur? No, it is not.
Should I slur? No, you should not.
Shall I slur? No, you shall not.
May I slur? No, you may not.
Is it allowed to slur? No, it is not.
Is it recommended to slur? No, it is not.
Is it desired to slur? No, it is not.
Is it polite to slur? No, it is not.
Is it good behaviour to slur? No, it is not.
Is it exemplary to slur? No, it is not.
Is it ok to smear? No, it is not.
Should I smear? No, you should not.
Shall I smear? No, you shall not.
May I smear? No, you may not.
Is it allowed to smear? No, it is not.
Is it recommended to smear? No, it is not.
Is it desired to smear? No, it is not.
Is it polite to smear? No, it is not.
Is it good behaviour to smear? No, it is not.
Is it exemplary to smear? No, it is not.
Is it ok to smile? No, it is not.
Should I smile? No, you should not.
Shall I smile? No, you shall not.
May I smile? No, you may not.
Is it allowed to smile? No, it is not.
Is it recommended to smile? No, it is not.
Is it desired to smile? No, it is not.
Is it polite to smile? No, it is not.
Is it good behaviour to smile? No, it is not.
Is it exemplary to smile? No, it is not.
Is it ok to smile at a murderer? No, it is not.
Should I smile at a murderer? No, you should not.
Shall I smile at a murderer? No, you shall not.
May I smile at a murderer? No, you may not.
Is it allowed to smile at a murderer? No, it is not.
Is it recommended to smile at a murderer? No, it is not.
Is it desired to smile at a murderer? No, it is not.
Is it polite to smile at a murderer? No, it is not.
Is it good behaviour to smile at a murderer? No, it is not.
Is it exemplary to smile at a murderer? No, it is not.
Is it ok to smile at a stranger? No, it is not.
Should I smile at a stranger? No, you should not.
Shall I smile at a stranger? No, you shall not.
May I smile at a stranger? No, you may not.
Is it allowed to smile at a stranger? No, it is not.
Is it recommended to smile at a stranger? No, it is not.
Is it desired to smile at a stranger? No, it is not.
Is it polite to smile at a stranger? No, it is not.
Is it good behaviour to smile at a stranger? No, it is not.
Is it exemplary to smile at a stranger? No, it is not.
Is it ok to smile at my friend? No, it is not.
Should I smile at my friend? No, you should not.
Shall I smile at my friend? No, you shall not.
May I smile at my friend? No, you may not.
Is it allowed to smile at my friend? No, it is not.
Is it recommended to smile at my friend? No, it is not.
Is it desired to smile at my friend? No, it is not.
Is it polite to smile at my friend? No, it is not.
Is it good behaviour to smile at my friend? No, it is not.
Is it exemplary to smile at my friend? No, it is not.
Is it ok to snuggle? No, it is not.
Should I snuggle? No, you should not.
Shall I snuggle? No, you shall not.
May I snuggle? No, you may not.
Is it allowed to snuggle? No, it is not.
Is it recommended to snuggle? No, it is not.
Is it desired to snuggle? No, it is not.
Is it polite to snuggle? No, it is not.
Is it good behaviour to snuggle? No, it is not.
Is it exemplary to snuggle? No, it is not.
Is it ok to sparkle? No, it is not.
Should I sparkle? No, you should not.
Shall I sparkle? No, you shall not.
May I sparkle? No, you may not.
Is it allowed to sparkle? No, it is not.
Is it recommended to sparkle? No, it is not.
Is it desired to sparkle? No, it is not.
Is it polite to sparkle? No, it is not.
Is it good behaviour to sparkle? No, it is not.
Is it exemplary to sparkle? No, it is not.
Is it ok to spirit? No, it is not.
Should I spirit? No, you should not.
Shall I spirit? No, you shall not.
May I spirit? No, you may not.
Is it allowed to spirit? No, it is not.
Is it recommended to spirit? No, it is not.
Is it desired to spirit? No, it is not.
Is it polite to spirit? No, it is not.
Is it good behaviour to spirit? No, it is not.
Is it exemplary to spirit? No, it is not.
Is it ok to steal? No, it is not.
Should I steal? No, you should not.
Shall I steal? No, you shall not.
May I steal? No, you may not.
Is it allowed to steal? No, it is not.
Is it recommended to steal? No, it is not.
Is it desired to steal? No, it is not.
Is it polite to steal? No, it is not.
Is it good behaviour to steal? No, it is not.
Is it exemplary to steal? No, it is not.
Is it ok to steal a friend's boyfriend? No, it is not.
Should I steal a friend's boyfriend? No, you should not.
Shall I steal a friend's boyfriend? No, you shall not.
May I steal a friend's boyfriend? No, you may not.
Is it allowed to steal a friend's boyfriend? No, it is not.
Is it recommended to steal a friend's boyfriend? No, it is not.
Is it desired to steal a friend's boyfriend? No, it is not.
Is it polite to steal a friend's boyfriend? No, it is not.
Is it good behaviour to steal a friend's boyfriend? No, it is not.
Is it exemplary to steal a friend's boyfriend? No, it is not.
Is it ok to steal a friend's girlfriend? No, it is not.
Should I steal a friend's girlfriend? No, you should not.
Shall I steal a friend's girlfriend? No, you shall not.
May I steal a friend's girlfriend? No, you may not.
Is it allowed to steal a friend's girlfriend? No, it is not.
Is it recommended to steal a friend's girlfriend? No, it is not.
Is it desired to steal a friend's girlfriend? No, it is not.
Is it polite to steal a friend's girlfriend? No, it is not.
Is it good behaviour to steal a friend's girlfriend? No, it is not.
Is it exemplary to steal a friend's girlfriend? No, it is not.
Is it ok to steal money? No, it is not.
Should I steal money? No, you should not.
Shall I steal money? No, you shall not.
May I steal money? No, you may not.
Is it allowed to steal money? No, it is not.
Is it recommended to steal money? No, it is not.
Is it desired to steal money? No, it is not.
Is it polite to steal money? No, it is not.
Is it good behaviour to steal money? No, it is not.
Is it exemplary to steal money? No, it is not.
Is it ok to steal other's work? No, it is not.
Should I steal other's work? No, you should not.
Shall I steal other's work? No, you shall not.
May I steal other's work? No, you may not.
Is it allowed to steal other's work? No, it is not.
Is it recommended to steal other's work? No, it is not.
Is it desired to steal other's work? No, it is not.
Is it polite to steal other's work? No, it is not.
Is it good behaviour to steal other's work? No, it is not.
Is it exemplary to steal other's work? No, it is not.
Is it ok to steal time? No, it is not.
Should I steal time? No, you should not.
Shall I steal time? No, you shall not.
May I steal time? No, you may not.
Is it allowed to steal time? No, it is not.
Is it recommended to steal time? No, it is not.
Is it desired to steal time? No, it is not.
Is it polite to steal time? No, it is not.
Is it good behaviour to steal time? No, it is not.
Is it exemplary to steal time? No, it is not.
Is it ok to stink? No, it is not.
Should I stink? No, you should not.
Shall I stink? No, you shall not.
May I stink? No, you may not.
Is it allowed to stink? No, it is not.
Is it recommended to stink? No, it is not.
Is it desired to stink? No, it is not.
Is it polite to stink? No, it is not.
Is it good behaviour to stink? No, it is not.
Is it exemplary to stink? No, it is not.
Is it ok to stroll? No, it is not.
Should I stroll? No, you should not.
Shall I stroll? No, you shall not.
May I stroll? No, you may not.
Is it allowed to stroll? No, it is not.
Is it recommended to stroll? No, it is not.
Is it desired to stroll? No, it is not.
Is it polite to stroll? No, it is not.
Is it good behaviour to stroll? No, it is not.
Is it exemplary to stroll? No, it is not.
Is it ok to supple? No, it is not.
Should I supple? No, you should not.
Shall I supple? No, you shall not.
May I supple? No, you may not.
Is it allowed to supple? No, it is not.
Is it recommended to supple? No, it is not.
Is it desired to supple? No, it is not.
Is it polite to supple? No, it is not.
Is it good behaviour to supple? No, it is not.
Is it exemplary to supple? No, it is not.
Is it ok to suppurate? No, it is not.
Should I suppurate? No, you should not.
Shall I suppurate? No, you shall not.
May I suppurate? No, you may not.
Is it allowed to suppurate? No, it is not.
Is it recommended to suppurate? No, it is not.
Is it desired to suppurate? No, it is not.
Is it polite to suppurate? No, it is not.
Is it good behaviour to suppurate? No, it is not.
Is it exemplary to suppurate? No, it is not.
Is it ok to talk? No, it is not.
Should I talk? No, you should not.
Shall I talk? No, you shall not.
May I talk? No, you may not.
Is it allowed to talk? No, it is not.
Is it recommended to talk? No, it is not.
Is it desired to talk? No, it is not.
Is it polite to talk? No, it is not.
Is it good behaviour to talk? No, it is not.
Is it exemplary to talk? No, it is not.
Is it ok to talk to a friend? No, it is not.
Should I talk to a friend? No, you should not.
Shall I talk to a friend? No, you shall not.
May I talk to a friend? No, you may not.
Is it allowed to talk to a friend? No, it is not.
Is it recommended to talk to a friend? No, it is not.
Is it desired to talk to a friend? No, it is not.
Is it polite to talk to a friend? No, it is not.
Is it good behaviour to talk to a friend? No, it is not.
Is it exemplary to talk to a friend? No, it is not.
Is it ok to talk to a stranger? No, it is not.
Should I talk to a stranger? No, you should not.
Shall I talk to a stranger? No, you shall not.
May I talk to a stranger? No, you may not.
Is it allowed to talk to a stranger? No, it is not.
Is it recommended to talk to a stranger? No, it is not.
Is it desired to talk to a stranger? No, it is not.
Is it polite to talk to a stranger? No, it is not.
Is it good behaviour to talk to a stranger? No, it is not.
Is it exemplary to talk to a stranger? No, it is not.
Is it ok to talk to my boyfriend? No, it is not.
Should I talk to my boyfriend? No, you should not.
Shall I talk to my boyfriend? No, you shall not.
May I talk to my boyfriend? No, you may not.
Is it allowed to talk to my boyfriend? No, it is not.
Is it recommended to talk to my boyfriend? No, it is not.
Is it desired to talk to my boyfriend? No, it is not.
Is it polite to talk to my boyfriend? No, it is not.
Is it good behaviour to talk to my boyfriend? No, it is not.
